Date,Time,Temperature (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip. (in),Condition
4/19/2024,12:53:00 AM,68,59,73,SSW,8 ,0 ,28.95,0,Fair
4/19/2024,1:53:00 AM,67,59,76,S,5 ,0 ,28.94,0,Partly Cloudy
4/19/2024,2:53:00 AM,67,59,76,SSW,6 ,0 ,28.92,0,Fair
4/19/2024,3:53:00 AM,67,60,79,SW,7 ,0 ,28.91,0,Partly Cloudy
4/19/2024,4:53:00 AM,68,62,81,WSW,10 ,0 ,28.93,0,Mostly Cloudy
4/19/2024,5:53:00 AM,67,63,87,W,6 ,0 ,28.94,0,Light Rain
4/19/2024,6:10:00 AM,67,64,90,WSW,10 ,0 ,28.95,0,Heavy Rain
4/19/2024,6:16:00 AM,66,64,93,W,8 ,0 ,28.95,0.1,Light Rain
4/19/2024,6:28:00 AM,66,64,93,WSW,9 ,0 ,28.96,0.2,Heavy Rain
4/19/2024,6:31:00 AM,66,65,96,SSW,7 ,0 ,28.96,0.2,Light Rain
4/19/2024,6:47:00 AM,66,64,94,SW,13 ,0 ,28.96,0.3,Light Rain
4/19/2024,6:53:00 AM,66,64,93,SW,13 ,0 ,28.96,0.3,Light Rain
4/19/2024,7:19:00 AM,66,64,93,SSW,12 ,0 ,28.98,0,Light Rain
4/19/2024,7:29:00 AM,66,64,93,SSW,10 ,0 ,28.98,0,Cloudy
4/19/2024,7:47:00 AM,66,64,94,SSW,9 ,0 ,28.98,0,Cloudy
4/19/2024,7:53:00 AM,66,64,93,S,12 ,0 ,28.98,0,Cloudy
4/19/2024,8:53:00 AM,67,64,90,SSW,12 ,0 ,28.99,0,Mostly Cloudy
4/19/2024,9:53:00 AM,70,64,81,SSW,15 ,0 ,28.99,0,Partly Cloudy
4/19/2024,10:53:00 AM,73,64,73,SW,12 ,0 ,28.99,0,Mostly Cloudy
4/19/2024,11:53:00 AM,75,63,66,WSW,10 ,0 ,28.98,0,Mostly Cloudy
4/19/2024,12:53:00 PM,75,62,64,WSW,8 ,0 ,28.97,0,Cloudy
4/19/2024,1:53:00 PM,74,62,66,SW,9 ,0 ,28.97,0,Cloudy
4/19/2024,2:53:00 PM,77,62,60,SW,10 ,0 ,28.96,0,Cloudy
4/19/2024,3:53:00 PM,80,63,56,SSW,12 ,18 ,28.93,0,Mostly Cloudy
4/19/2024,4:53:00 PM,77,62,60,W,9 ,0 ,28.93,0,Mostly Cloudy
4/19/2024,5:53:00 PM,77,62,60,WSW,8 ,0 ,28.93,0,Light Rain
4/19/2024,6:53:00 PM,77,62,60,WNW,6 ,0 ,28.93,0,Mostly Cloudy
4/19/2024,7:53:00 PM,73,61,66,WNW,10 ,0 ,28.94,0,Cloudy
4/19/2024,8:53:00 PM,72,61,68,WNW,6 ,0 ,28.96,0,Cloudy
4/19/2024,9:53:00 PM,70,60,71,N,10 ,0 ,29,0,Cloudy
4/19/2024,10:53:00 PM,68,60,76,NNW,7 ,0 ,29.01,0,Mostly Cloudy
